CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031408520934026NH0F;03/10/2022;6;0,038;R
ES0031408520934026NH0F;03/10/2022;7;0,025;R
ES0031408520934026NH0F;03/10/2022;8;0,023;R
ES0031408520934026NH0F;03/10/2022;9;0,035;R
ES0031408520934026NH0F;03/10/2022;10;0,029;R
ES0031408520934026NH0F;03/10/2022;11;0,047;R
ES0031408520934026NH0F;03/10/2022;12;0,038;R
ES0031408520934026NH0F;03/10/2022;13;0,046;R
ES0031408520934026NH0F;03/10/2022;14;0,039;R
ES0031408520934026NH0F;03/10/2022;15;0,030;R
ES0031408520934026NH0F;03/10/2022;16;0,036;R
ES0031408520934026NH0F;03/10/2022;17;0,030;R
ES0031408520934026NH0F;03/10/2022;18;0,023;R
ES0031408520934026NH0F;03/10/2022;19;0,039;R
ES0031408520934026NH0F;03/10/2022;20;0,024;R
ES0031408520934026NH0F;03/10/2022;21;0,041;R
ES0031408520934026NH0F;03/10/2022;22;0,180;R
ES0031408520934026NH0F;03/10/2022;23;0,073;R
ES0031408520934026NH0F;03/10/2022;24;0,067;R
ES0031408520934026NH0F;04/10/2022;1;0,035;R
ES0031408520934026NH0F;04/10/2022;2;0,023;R
ES0031408520934026NH0F;04/10/2022;3;0,035;R
ES0031408520934026NH0F;04/10/2022;4;0,029;R
ES0031408520934026NH0F;04/10/2022;5;0,024;R
ES0031408520934026NH0F;04/10/2022;6;0,033;R
ES0031408520934026NH0F;04/10/2022;7;0,029;R
ES0031408520934026NH0F;04/10/2022;8;0,023;R
ES0031408520934026NH0F;04/10/2022;9;0,033;R
ES0031408520934026NH0F;04/10/2022;10;0,057;R
ES0031408520934026NH0F;04/10/2022;11;0,023;R
ES0031408520934026NH0F;04/10/2022;12;0,049;R
ES0031408520934026NH0F;04/10/2022;13;0,028;R
ES0031408520934026NH0F;04/10/2022;14;0,042;R
ES0031408520934026NH0F;04/10/2022;15;0,042;R
ES0031408520934026NH0F;04/10/2022;16;0,023;R
ES0031408520934026NH0F;04/10/2022;17;0,036;R
ES0031408520934026NH0F;04/10/2022;18;0,028;R
ES0031408520934026NH0F;04/10/2022;19;0,024;R
ES0031408520934026NH0F;04/10/2022;20;0,039;R
ES0031408520934026NH0F;04/10/2022;21;0,032;R
ES0031408520934026NH0F;04/10/2022;22;0,173;R
ES0031408520934026NH0F;04/10/2022;23;0,073;R
ES0031408520934026NH0F;04/10/2022;24;0,043;R
ES0031408520934026NH0F;05/10/2022;1;0,077;R
ES0031408520934026NH0F;05/10/2022;2;0,027;R
ES0031408520934026NH0F;05/10/2022;3;0,030;R
ES0031408520934026NH0F;05/10/2022;4;0,033;R
ES0031408520934026NH0F;05/10/2022;5;0,024;R
ES0031408520934026NH0F;05/10/2022;6;0,028;R
ES0031408520934026NH0F;05/10/2022;7;0,036;R
ES0031408520934026NH0F;05/10/2022;8;0,025;R
ES0031408520934026NH0F;05/10/2022;9;0,023;R
ES0031408520934026NH0F;05/10/2022;10;0,068;R
ES0031408520934026NH0F;05/10/2022;11;0,026;R
ES0031408520934026NH0F;05/10/2022;12;0,028;R
ES0031408520934026NH0F;05/10/2022;13;0,035;R
ES0031408520934026NH0F;05/10/2022;14;0,054;R
ES0031408520934026NH0F;05/10/2022;15;0,064;R
ES0031408520934026NH0F;05/10/2022;16;0,027;R
ES0031408520934026NH0F;05/10/2022;17;0,039;R
ES0031408520934026NH0F;05/10/2022;18;0,024;R
ES0031408520934026NH0F;05/10/2022;19;0,042;R
ES0031408520934026NH0F;05/10/2022;20;0,024;R
ES0031408520934026NH0F;05/10/2022;21;0,049;R
ES0031408520934026NH0F;05/10/2022;22;0,142;R
ES0031408520934026NH0F;05/10/2022;23;0,084;R
ES0031408520934026NH0F;05/10/2022;24;0,081;R
ES0031408520934026NH0F;06/10/2022;1;0,047;R
ES0031408520934026NH0F;06/10/2022;2;0,029;R
ES0031408520934026NH0F;06/10/2022;3;0,041;R
ES0031408520934026NH0F;06/10/2022;4;0,023;R
ES0031408520934026NH0F;06/10/2022;5;0,035;R
ES0031408520934026NH0F;06/10/2022;6;0,030;R
